Speed[r/min],Torque[Nm],Voltage (Amplitude)[V],
0,0,0,
0,16.9154228855721,0.612237991127285,
0,33.8308457711443,1.18811865755781,
0,50.7462686567164,1.72735728857363,
0,67.6616915422886,2.22966917345681,
0,84.5771144278607,2.69476960148943,
0,101.492537313433,3.12237386195354,
0,118.407960199005,3.51219724413122,
0,135.323383084577,3.86395503730452,
0,152.238805970149,4.17736253075552,
0,169.154228855721,4.45342262956934,
0,186.069651741294,4.71269127694959,
0,202.985074626866,4.96226989407276,
0,219.900497512438,5.20199374442687,
0,236.81592039801,5.43169809149997,
0,253.731343283582,5.6512181987801,
0,270.646766169154,5.8603893297553,
0,287.562189054726,6.05904674791361,
0,304.477611940298,6.24702571674305,
0,321.393034825871,6.42416149973169,
0,338.308457711443,6.59173547684437,
0,355.223880597015,6.75640365509036,
0,372.139303482587,6.9203114588899,
0,389.054726368159,7.08496497138262,
0,405.970149253731,7.2518702757082,
0,422.885572139303,7.42253345500629,
0,439.800995024876,7.59846059241653,
0,456.716417910448,7.7811577710786,
0,473.63184079602,7.97213107413214,
0,490.547263681592,8.17288658471681,
0,507.462686567164,8.38166239150805,
0,524.378109452736,8.59349073345195,
0,541.293532338308,8.80728903949979,
0,558.208955223881,9.0220211017547,
0,575.124378109453,9.23665071231985,
0,592.039800995025,9.45014166329837,
0,608.955223880597,9.66145774679342,
0,625.870646766169,9.86956275490816,
0,642.786069651741,10.0734204797457,
0,659.701492537313,10.2720333862991,
0,676.616915422886,10.4663233990786,
0,693.532338308458,10.6578328011028,
0,710.44776119403,10.8475748601379,
0,727.363184079602,11.0365628439501,
0,744.278606965174,11.2258100203057,
0,761.194029850746,11.4163296569709,
0,778.109452736318,11.609135021712,
0,795.02487562189,11.8052393822952,
0,811.940298507463,12.0056560064867,
0,828.855721393035,12.2113278364031,
0,845.771144278607,12.4220682976891,
0,862.686567164179,12.636865521531,
0,879.601990049751,12.8546983214414,
0,896.517412935323,13.0745455109328,
0,913.432835820895,13.2953859035176,
0,930.348258706468,13.5161983127085,
0,947.26368159204,13.7359615520179,
0,964.179104477612,13.9536544349582,
0,981.094527363184,14.1682557750421,
0,998.009950248756,14.3788476114713,
0,1014.92537313433,14.5856615271697,
0,1031.8407960199,14.7896118847731,
0,1048.75621890547,14.9916206657297,
0,1065.67164179104,15.1926098514875,
0,1082.58706467662,15.3935014234948,
0,1099.50248756219,15.5952173631998,
0,1116.41791044776,15.7986796520504,
0,1133.33333333333,16.0048102714951,
0,1150.24875621891,16.214536533882,
0,1167.16417910448,16.4295988404439,
0,1184.07960199005,16.6503357274107,
0,1200.99502487562,16.8759775222762,
0,1217.91044776119,17.1057545525344,
0,1234.82587064677,17.3388971456789,
0,1251.74129353234,17.5746356292036,
0,1268.65671641791,17.8122003306023,
0,1285.57213930348,18.0508215773687,
