Speed[r/min],Torque[Nm],Flux (d-Axis)[Vs],
0,0,1.02741293225641,
0,16.9154228855721,1.00942022282246,
0,33.8308457711443,0.992255975361156,
0,50.7462686567164,0.975936277222117,
0,67.6616915422886,0.960477215754979,
0,84.5771144278607,0.945894878309377,
0,101.492537313433,0.932205352234943,
0,118.407960199005,0.919424724881311,
0,135.323383084577,0.907569083598113,
0,152.238805970149,0.896654515734984,
0,169.154228855721,0.88666699326089,
0,186.069651741294,0.877126691893147,
0,202.985074626866,0.867849160913958,
0,219.900497512438,0.858817392846605,
0,236.81592039801,0.850014380214373,
0,253.731343283582,0.841423115540543,
0,270.646766169154,0.8330265913484,
0,287.562189054726,0.824807800161226,
0,304.477611940298,0.816749734502305,
0,321.393034825871,0.80883538689492,
0,338.308457711443,0.801049483635329,
0,355.223880597015,0.793385541223681,
0,372.139303482587,0.785834721410603,
0,389.054726368159,0.77838757334111,
0,405.970149253731,0.771034646160217,
0,422.885572139303,0.763766489012938,
0,439.800995024876,0.756573651044288,
0,456.716417910448,0.749446681399282,
0,473.63184079602,0.742376129222935,
0,490.547263681592,0.735352543660261,
0,507.462686567164,0.728364976554033,
0,524.378109452736,0.72140244911424,
0,541.293532338308,0.714456739411249,
0,558.208955223881,0.707519651787798,
0,575.124378109453,0.700582990586626,
0,592.039800995025,0.69363856015047,
0,608.955223880597,0.68667816482207,
0,625.870646766169,0.679693608944164,
0,642.786069651741,0.672676696859489,
0,659.701492537313,0.665621264451152,
0,676.616915422886,0.658586772682642,
0,693.532338308458,0.651566594012403,
0,710.44776119403,0.644509618403525,
0,727.363184079602,0.637364735819099,
0,744.278606965174,0.630080836222215,
0,761.194029850746,0.622606809575963,
0,778.109452736318,0.614891545843433,
0,795.02487562189,0.606883934987717,
0,811.940298507463,0.598532866971905,
0,828.855721393035,0.589834063622202,
0,845.771144278607,0.581059542696783,
0,862.686567164179,0.57226277911489,
0,879.601990049751,0.563444871459898,
0,896.517412935323,0.554606918315182,
0,913.432835820895,0.545750018264117,
0,930.348258706468,0.536875269890076,
0,947.26368159204,0.527983771776435,
0,964.179104477612,0.519076622506568,
0,981.094527363184,0.51015492066385,
0,998.009950248756,0.501223177133614,
0,1014.92537313433,0.492290237616902,
0,1031.8407960199,0.483357722976091,
0,1048.75621890547,0.474426973879307,
0,1065.67164179104,0.465499330994674,
0,1082.58706467662,0.456576134990318,
0,1099.50248756219,0.447658726534364,
0,1116.41791044776,0.438748446294938,
0,1133.33333333333,0.429846634940164,
0,1150.24875621891,0.420954634302247,
0,1167.16417910448,0.412073556952149,
0,1184.07960199005,0.403202799089459,
0,1200.99502487562,0.394341210990214,
0,1217.91044776119,0.385487642930449,
0,1234.82587064677,0.376640945186201,
0,1251.74129353234,0.367799968033508,
0,1268.65671641791,0.358963561748404,
0,1285.57213930348,0.350130576606928,
0,1302.48756218905,0.341299862885115,
0,1319.40298507463,0.332468630114616,
0,1336.3184079602,0.323618458250483,
0,1353.23383084577,0.314744599140288,
0,1370.14925373134,0.305847193652905,
0,1387.06467661692,0.296926382657207,
0,1403.98009950249,0.287982307022067,
0,1420.89552238806,0.279015107616358,
0,1437.81094527363,0.270024925308954,
0,1454.7263681592,0.261011900968729,
0,1471.64179104478,0.251976175464554,
0,1488.55721393035,0.242914397573431,
0,1505.47263681592,0.233816605500776,
0,1522.38805970149,0.224684843045017,
0,1539.30348258706,0.21552209357629,
0,1556.21890547264,0.206331340464729,
0,1573.13432835821,0.197115567080471,
0,1590.04975124378,0.187877756793651,
0,1606.96517412935,0.178620892974404,
0,1623.88059701493,0.169347958992866,
0,1640.7960199005,0.160061938219172,
0,1657.71144278607,0.150766698655254,
0,1674.62686567164,0.141465705832942,
0,1691.54228855721,0.132161091083643,
0,1708.45771144279,0.122854984072821,
0,1725.37313432836,0.113549514465941,
0,1742.28855721393,0.104246811928467,
0,1759.2039800995,0.094949006125862,
0,1776.11940298507,0.0856582267235914,
0,1793.03482587065,0.0763766033871188,
0,1809.95024875622,0.0671064657042496,
0,1826.86567164179,0.0578537948677298,
0,1843.78109452736,0.0486212656479042,
0,1860.69651741294,0.039409771503268,
0,1877.61194029851,0.0302202058923168,
0,1894.52736318408,0.0210534622735458,
0,1911.44278606965,0.0119104341054501,
0,1928.35820895522,0.00279201484652529,
0,1945.2736318408,-0.00630090204473317,
0,1962.18905472637,-0.0153674231098301,
0,1979.10447761194,-0.0244092155484708,
0,1996.01990049751,-0.0334390233206928,
0,2012.93532338308,-0.0424603590238262,
0,2029.85074626866,-0.05147516039402,
0,2046.76616915423,-0.060485365167423,
0,2063.6815920398,-0.0694929110801843,
0,2080.59701492537,-0.078499735868453,
0,2097.51243781094,-0.0875077772683779,
0,2114.42786069652,-0.0965189730161081,
0,2131.34328358209,-0.105535260847793,
0,2148.25870646766,-0.11457117246786,
0,2165.17412935323,-0.123641371990927,
0,2182.08955223881,-0.13273212464395,
0,2199.00497512438,-0.141829238842864,
0,2215.92039800995,-0.150918523003606,
0,2232.83582089552,-0.159985785542109,
0,2249.75124378109,-0.169016834874309,
0,2266.66666666667,-0.177997479416143,
0,2283.58208955224,-0.186913527583544,
0,2300.49751243781,-0.19575161757882,
0,2317.41293532338,-0.204549885765181,
0,2334.32835820895,-0.213336391545318,
0,2351.24378109453,-0.222112472245844,
0,2368.1592039801,-0.230879465193368,
0,2385.07462686567,-0.2396387077145,
0,2401.99004975124,-0.248391537135851,
0,2418.90547263682,-0.257139290784032,
0,2435.82089552239,-0.265883305985652,
0,2452.73631840796,-0.274624920067324,
0,2469.65174129353,-0.283365273932045,
0,2486.5671641791,-0.292103961691943,
0,2503.48258706468,-0.300841351481429,
0,2520.39800995025,-0.309578089527968,
0,2537.31343283582,-0.318314822059027,
0,2554.22885572139,-0.32705219530207,
0,2571.14427860697,-0.335790855484564,
0,2588.05970149254,-0.344531448833973,
0,2604.97512437811,-0.353274621577764,
0,2621.89054726368,-0.362021019943401,
0,2638.80597014925,-0.370771312477177,
0,2655.72139303483,-0.379526001183638,
0,2672.6368159204,-0.388285340117937,
0,2689.55223880597,-0.397049575933848,
0,2706.46766169154,-0.405818955285142,
0,2723.38308457711,-0.414593724825591,
0,2740.29850746269,-0.423374131208969,
0,2757.21393034826,-0.432160421089048,
0,2774.12935323383,-0.4409528411196,
0,2791.0447761194,-0.449751546583158,
0,2807.96019900498,-0.458475780968401,
0,2824.87562189055,-0.467070250913614,
0,2841.79104477612,-0.475557622275095,
0,2858.70646766169,-0.483960560909148,
0,2875.62189054726,-0.492301732672072,
0,2892.53731343284,-0.500603803420169,
0,2909.45273631841,-0.50888943900974,
0,2926.36815920398,-0.517181305297085,
0,2943.28358208955,-0.525502068138506,
0,2960.19900497512,-0.533874504915363,
0,2977.1144278607,-0.542316652836054,
0,2994.02985074627,-0.550832474786577,
0,3010.94527363184,-0.559423923835891,
0,3027.86069651741,-0.568092953052953,
0,3044.77611940298,-0.57684151550672,
0,3061.69154228856,-0.58567156426615,
0,3078.60696517413,-0.594585052400201,
0,3095.5223880597,-0.60358393297783,
0,3112.43781094527,-0.612670159067996,
0,3129.35323383085,-0.621787953500847,
0,3146.26865671642,-0.630731604371056,
0,3163.18407960199,-0.639501504549052,
0,3180.09950248756,-0.648119096954525,
0,3197.01492537313,-0.656605824507167,
0,3213.93034825871,-0.664983130126669,
0,3230.84577114428,-0.673272456732723,
0,3247.76119402985,-0.681495247245018,
0,3264.67661691542,-0.689672944583246,
0,3281.59203980099,-0.698461274339592,
0,3298.50746268657,-0.698461274339592,
21.8905472636816,0,1.02741293225641,
21.8905472636816,16.9154228855721,1.00853625824903,
21.8905472636816,33.8308457711443,0.990606293808269,
21.8905472636816,50.7462686567164,0.973649653529917,
21.8905472636816,67.6616915422886,0.957692952009785,
21.8905472636816,84.5771144278607,0.942762803843678,
21.8905472636816,101.492537313433,0.928885823627404,
21.8905472636816,118.407960199005,0.916088625956769,
21.8905472636816,135.323383084577,0.904397825427579,
21.8905472636816,152.238805970149,0.893840036635641,
21.8905472636816,169.154228855721,0.884400105032514,
21.8905472636816,186.069651741294,0.875418583795689,
21.8905472636816,202.985074626866,0.866649692461611,
21.8905472636816,219.900497512438,0.858080406537208,
21.8905472636816,236.81592039801,0.849697701529406,
21.8905472636816,253.731343283582,0.841488552945133,
21.8905472636816,270.646766169154,0.833439936291316,
21.8905472636816,287.562189054726,0.825538827074881,
21.8905472636816,304.477611940298,0.817772200802756,
21.8905472636816,321.393034825871,0.810127032981868,
21.8905472636816,338.308457711443,0.802587219461238,
21.8905472636816,355.223880597015,0.795125029803313,
21.8905472636816,372.139303482587,0.787722104544353,
21.8905472636816,389.054726368159,0.780361433929278,
21.8905472636816,405.970149253731,0.773026008203006,
21.8905472636816,422.885572139303,0.765698817610457,
21.8905472636816,439.800995024876,0.758362852396552,
21.8905472636816,456.716417910448,0.751001102806208,
21.8905472636816,473.63184079602,0.743596559084346,
21.8905472636816,490.547263681592,0.736132211475885,
21.8905472636816,507.462686567164,0.728631791967326,
21.8905472636816,524.378109452736,0.721153338582582,
21.8905472636816,541.293532338308,0.713702608356216,
21.8905472636816,558.208955223881,0.706284760519096,
21.8905472636816,575.124378109453,0.698904954302091,
21.8905472636816,592.039800995025,0.691568348936071,
21.8905472636816,608.955223880597,0.684280103651904,
21.8905472636816,625.870646766169,0.677045377680459,
21.8905472636816,642.786069651741,0.669869330252605,
21.8905472636816,659.701492537313,0.662758394042501,
21.8905472636816,676.616915422886,0.655750170930102,
21.8905472636816,693.532338308458,0.648812900892214,
21.8905472636816,710.44776119403,0.641882215018118,
21.8905472636816,727.363184079602,0.634893744397097,
21.8905472636816,744.278606965174,0.627783120118434,
21.8905472636816,761.194029850746,0.620485973271411,
21.8905472636816,778.109452736318,0.612937934945311,
21.8905472636816,795.02487562189,0.605074636229417,
21.8905472636816,811.940298507463,0.596831708213012,
21.8905472636816,828.855721393035,0.588196501632306,
21.8905472636816,845.771144278607,0.579464943354167,
21.8905472636816,862.686567164179,0.570697166637612,
21.8905472636816,879.601990049751,0.561895885852824,
21.8905472636816,896.517412935323,0.553063815369987,
21.8905472636816,913.432835820895,0.544203669559285,
21.8905472636816,930.348258706468,0.535318162790903,
21.8905472636816,947.26368159204,0.526410009435023,
21.8905472636816,964.179104477612,0.517481923861831,
21.8905472636816,981.094527363184,0.50853662044151,
21.8905472636816,998.009950248756,0.49958094581908,
21.8905472636816,1014.92537313433,0.490626750868764,
21.8905472636816,1031.8407960199,0.481676920217517,
21.8905472636816,1048.75621890547,0.47273399530373,
21.8905472636816,1065.67164179104,0.463800517565793,
21.8905472636816,1082.58706467662,0.454879028442097,
21.8905472636816,1099.50248756219,0.445972069371032,
21.8905472636816,1116.41791044776,0.437082181790987,
21.8905472636816,1133.33333333333,0.428211907140355,
21.8905472636816,1150.24875621891,0.419363788482075,
21.8905472636816,1167.16417910448,0.410539067915642,
21.8905472636816,1184.07960199005,0.401733191435192,
21.8905472636816,1200.99502487562,0.392940110240863,
21.8905472636816,1217.91044776119,0.384153775532795,
21.8905472636816,1234.82587064677,0.375368138511125,
21.8905472636816,1251.74129353234,0.366577150375995,
21.8905472636816,1268.65671641791,0.357774762327542,
21.8905472636816,1285.57213930348,0.348954925565906,
21.8905472636816,1302.48756218905,0.340111591291225,
21.8905472636816,1319.40298507463,0.331233768908077,
21.8905472636816,1336.3184079602,0.322269106519675,
21.8905472636816,1353.23383084577,0.313217798342598,
21.8905472636816,1370.14925373134,0.304095978575252,
21.8905472636816,1387.06467661692,0.294919781416038,
21.8905472636816,1403.98009950249,0.285705341063362,
21.8905472636816,1420.89552238806,0.276468791715627,
21.8905472636816,1437.81094527363,0.267226267571238,
