Speed[r/min],Torque[Nm],Current (Id)[A],
0,3129.35323383085,-255.277007534656,
0,3146.26865671642,-256.880741868596,
0,3163.18407960199,-258.463777833317,
0,3180.09950248756,-260.02888731747,
0,3197.01492537313,-261.578878941771,
0,3213.93034825871,-263.116602600346,
0,3230.84577114428,-264.644953458998,
0,3247.76119402985,-266.166875378766,
0,3264.67661691542,-267.685363734049,
0,3281.59203980099,-269.321699444431,
0,3298.50746268657,-269.321699444431,
21.8905472636816,0,0,
21.8905472636816,16.9154228855721,-0.513788802367639,
21.8905472636816,33.8308457711443,-1.91187102970673,
21.8905472636816,50.7462686567164,-3.96877742837332,
21.8905472636816,67.6616915422886,-6.46086383636869,
21.8905472636816,84.5771144278607,-9.18076836284905,
21.8905472636816,101.492537313433,-11.9452427728168,
21.8905472636816,118.407960199005,-14.5968482101424,
21.8905472636816,135.323383084577,-17.0005499823858,
21.8905472636816,152.238805970149,-19.0365740196585,
21.8905472636816,169.154228855721,-20.6144330925598,
21.8905472636816,186.069651741294,-22.0294094121303,
21.8905472636816,202.985074626866,-23.406594690095,
21.8905472636816,219.900497512438,-24.748885651346,
21.8905472636816,236.81592039801,-26.059030062843,
21.8905472636816,253.731343283582,-27.3396348230838,
21.8905472636816,270.646766169154,-28.5931738802357,
21.8905472636816,287.562189054726,-29.8219959332641,
21.8905472636816,304.477611940298,-31.0283318750464,
21.8905472636816,321.393034825871,-32.2143019406777,
21.8905472636816,338.308457711443,-33.382857957698,
21.8905472636816,355.223880597015,-34.5396702269801,
21.8905472636816,372.139303482587,-35.6866421977678,
21.8905472636816,389.054726368159,-36.825308567226,
21.8905472636816,405.970149253731,-37.9572914965321,
21.8905472636816,422.885572139303,-39.0842972015015,
21.8905472636816,439.800995024876,-40.2081123951397,
21.8905472636816,456.716417910448,-41.3306005603215,
21.8905472636816,473.63184079602,-42.4536980303187,
21.8905472636816,490.547263681592,-43.5794098541183,
21.8905472636816,507.462686567164,-44.7058967090309,
21.8905472636816,524.378109452736,-45.8273723624543,
21.8905472636816,541.293532338308,-46.9425269115945,
21.8905472636816,558.208955223881,-48.0500041349277,
21.8905472636816,575.124378109453,-49.1483475527409,
21.8905472636816,592.039800995025,-50.2360011135408,
21.8905472636816,608.955223880597,-51.3113094563947,
21.8905472636816,625.870646766169,-52.3725177174578,
21.8905472636816,642.786069651741,-53.4177708505157,
21.8905472636816,659.701492537313,-54.4453949769269,
21.8905472636816,676.616915422886,-55.4655593348993,
21.8905472636816,693.532338308458,-56.4871838916137,
21.8905472636816,710.44776119403,-57.5145769587941,
21.8905472636816,727.363184079602,-58.5523005895707,
21.8905472636816,744.278606965174,-59.6051640807017,
21.8905472636816,761.194029850746,-60.6782156356543,
21.8905472636816,778.109452736318,-61.7767319566806,
21.8905472636816,795.02487562189,-62.9062055159757,
21.8905472636816,811.940298507463,-64.0723292318355,
21.8905472636816,828.855721393035,-65.2783751946525,
21.8905472636816,845.771144278607,-66.5104166584351,
21.8905472636816,862.686567164179,-67.7634266072528,
21.8905472636816,879.601990049751,-69.0348836260807,
21.8905472636816,896.517412935323,-70.3221068147868,
21.8905472636816,913.432835820895,-71.6222622176508,
21.8905472636816,930.348258706468,-72.9323688040885,
21.8905472636816,947.26368159204,-74.2493038816466,
21.8905472636816,964.179104477612,-75.5698078171799,
21.8905472636816,981.094527363184,-76.8904879380968,
21.8905472636816,998.009950248756,-78.208940281592,
21.8905472636816,1014.92537313433,-79.5257529381861,
21.8905472636816,1031.8407960199,-80.8405994062166,
21.8905472636816,1048.75621890547,-82.153081618911,
21.8905472636816,1065.67164179104,-83.462795332793,
21.8905472636816,1082.58706467662,-84.7693299597868,
21.8905472636816,1099.50248756219,-86.0722683643013,
21.8905472636816,1116.41791044776,-87.3711866245193,
21.8905472636816,1133.33333333333,-88.6656537571318,
21.8905472636816,1150.24875621891,-89.9552401739926,
21.8905472636816,1167.16417910448,-91.2415430062612,
21.8905472636816,1184.07960199005,-92.52627131401,
21.8905472636816,1200.99502487562,-93.8098496409645,
21.8905472636816,1217.91044776119,-95.0927221572934,
21.8905472636816,1234.82587064677,-96.3753524981902,
21.8905472636816,1251.74129353234,-97.6582236117667,
21.8905472636816,1268.65671641791,-98.9418376138688,
21.8905472636816,1285.57213930348,-100.226715647426,
21.8905472636816,1302.48756218905,-101.513397743954,
21.8905472636816,1319.40298507463,-102.803073737658,
21.8905472636816,1336.3184079602,-104.102481850501,
21.8905472636816,1353.23383084577,-105.412127827216,
21.8905472636816,1370.14925373134,-106.730482627611,
21.8905472636816,1387.06467661692,-108.055964060758,
21.8905472636816,1403.98009950249,-109.386937947655,
21.8905472636816,1420.89552238806,-110.721719065554,
21.8905472636816,1437.81094527363,-112.0585718515,
21.8905472636816,1454.7263681592,-113.395710842272,
21.8905472636816,1471.64179104478,-114.731300827637,
21.8905472636816,1488.55721393035,-116.063382706362,
21.8905472636816,1505.47263681592,-117.391247672503,
21.8905472636816,1522.38805970149,-118.716063632319,
21.8905472636816,1539.30348258706,-120.039116213539,
21.8905472636816,1556.21890547264,-121.361731471054,
21.8905472636816,1573.13432835821,-122.685275875409,
21.8905472636816,1590.04975124378,-124.011156180367,
21.8905472636816,1606.96517412935,-125.340819155861,
21.8905472636816,1623.88059701493,-126.675751172669,
21.8905472636816,1640.7960199005,-128.017477625011,
21.8905472636816,1657.71144278607,-129.367776772386,
21.8905472636816,1674.62686567164,-130.726988109085,
21.8905472636816,1691.54228855721,-132.094348353978,
21.8905472636816,1708.45771144279,-133.46906983375,
21.8905472636816,1725.37313432836,-134.850342010264,
21.8905472636816,1742.28855721393,-136.23733202019,
21.8905472636816,1759.2039800995,-137.629185161441,
21.8905472636816,1776.11940298507,-139.025025321646,
21.8905472636816,1793.03482587065,-140.42395534374,
