Speed[r/min],Torque[Nm],Power Factor,
0,1590.04975124378,1,
0,1606.96517412935,1,
0,1623.88059701493,1,
0,1640.7960199005,1,
0,1657.71144278607,1,
0,1674.62686567164,1,
0,1691.54228855721,1,
0,1708.45771144279,1,
0,1725.37313432836,1,
0,1742.28855721393,1,
0,1759.2039800995,1,
0,1776.11940298507,1,
0,1793.03482587065,1,
0,1809.95024875622,1,
0,1826.86567164179,1,
0,1843.78109452736,1,
0,1860.69651741294,1,
0,1877.61194029851,1,
0,1894.52736318408,1,
0,1911.44278606965,1,
0,1928.35820895522,1,
0,1945.2736318408,1,
0,1962.18905472637,1,
0,1979.10447761194,1,
0,1996.01990049751,1,
0,2012.93532338308,1,
0,2029.85074626866,1,
0,2046.76616915423,1,
0,2063.6815920398,1,
0,2080.59701492537,1,
0,2097.51243781094,1,
0,2114.42786069652,1,
0,2131.34328358209,1,
0,2148.25870646766,1,
0,2165.17412935323,1,
0,2182.08955223881,1,
0,2199.00497512438,1,
0,2215.92039800995,1,
0,2232.83582089552,1,
0,2249.75124378109,1,
0,2266.66666666667,1,
0,2283.58208955224,1,
0,2300.49751243781,1,
0,2317.41293532338,1,
0,2334.32835820895,1,
0,2351.24378109453,1,
0,2368.1592039801,1,
0,2385.07462686567,1,
0,2401.99004975124,1,
0,2418.90547263682,1,
0,2435.82089552239,1,
0,2452.73631840796,1,
0,2469.65174129353,1,
0,2486.5671641791,1,
0,2503.48258706468,1,
0,2520.39800995025,1,
0,2537.31343283582,1,
0,2554.22885572139,1,
0,2571.14427860697,1,
0,2588.05970149254,1,
0,2604.97512437811,1,
0,2621.89054726368,1,
0,2638.80597014925,1,
0,2655.72139303483,1,
0,2672.6368159204,1,
0,2689.55223880597,1,
0,2706.46766169154,1,
0,2723.38308457711,1,
0,2740.29850746269,1,
0,2757.21393034826,1,
0,2774.12935323383,1,
0,2791.0447761194,1,
0,2807.96019900498,1,
0,2824.87562189055,1,
0,2841.79104477612,1,
0,2858.70646766169,1,
0,2875.62189054726,1,
0,2892.53731343284,1,
0,2909.45273631841,1,
0,2926.36815920398,1,
0,2943.28358208955,1,
0,2960.19900497512,1,
0,2977.1144278607,1,
0,2994.02985074627,1,
0,3010.94527363184,1,
0,3027.86069651741,1,
0,3044.77611940298,1,
0,3061.69154228856,1,
0,3078.60696517413,1,
0,3095.5223880597,1,
0,3112.43781094527,1,
0,3129.35323383085,1,
0,3146.26865671642,1,
0,3163.18407960199,1,
0,3180.09950248756,1,
0,3197.01492537313,1,
0,3213.93034825871,1,
0,3230.84577114428,1,
0,3247.76119402985,1,
0,3264.67661691542,1,
0,3281.59203980099,1,
0,3298.50746268657,1,
21.8905472636816,0,0,
