RPM,Ld,Lq,Torque_Mag[Nm],Torque_Rel[Nm],Total_Torque[Nm],Efficiency[%],Voltage(V)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0016609572165887433,0.025163614972967263,17.673082667663625,0.20380932765039417,17.87689199531402,0.0,0.612237991127285
0.0,0.00974087262901964,0.02565920747762131,33.86354961997853,0.9853240468761821,34.84887366685471,0.0,1.18811865755781
0.0,0.008936783200851893,0.02646181339146735,48.14316438784503,3.2060659605536537,51.349230348398684,0.0,1.72735728857363
0.0,0.00794932777506553,0.027482632567144324,60.398463884494824,7.3110691069329174,67.70953299142774,0.0,2.22966917345681
0.0,0.007218696522722816,0.028636558973935446,70.77775323201253,13.376044207880144,84.15379743989267,0.0,2.69476960148943
0.0,0.006712895774664551,0.02982323421770202,79.62859896415569,21.1761345330847,100.80473349724039,0.0,3.12237386195354
0.0,0.006376711646859137,0.030924464866103788,87.43308394651143,30.258027732509824,117.69111167902125,0.0,3.51219724413122
0.0,0.006171973026614572,0.03181160908142452,94.74552532554067,40.00211578247833,134.747641108019,0.0,3.86395503730452
0.0,0.006077599822639725,0.03236318149442863,102.13459962479313,49.66709361066737,151.8016932354605,0.0,4.17736253075552
0.0,0.006082263607472818,0.03250856659040029,110.07684479955276,58.502872130326466,168.57971692987923,0.0,4.45342262956934
0.0,0.006108615159998013,0.0325201410681183,118.06343397497562,67.26252204272288,185.3259560176985,0.0,4.71269127694959
0.0,0.006130432077554378,0.032508401751186404,125.8423752218062,76.32099275032465,202.16336797213086,0.0,4.96226989407276
0.0,0.006148862183585398,0.03247816228511224,133.42316995776534,85.63487273092568,219.05804268869102,0.0,5.20199374442687
0.0,0.006164768718443582,0.03243303501965176,140.81531960057262,95.16561387568836,235.980933476261,0.0,5.43169809149997
0.0,0.006178816475644394,0.03237579690668242,148.02832556794843,104.87928585901366,252.9076114269621,0.0,5.6512181987801
0.0,0.006191528387834812,0.03230863007218697,155.07168927761234,114.74634168426837,269.8180309618807,0.0,5.8603893297553
0.0,0.006203323726813184,0.032233284412010926,161.95491214728514,124.74139440533746,286.6963065526226,0.0,6.05904674791361
0.0,0.0062145445066689115,0.032151190154870994,168.68749559468597,134.84300502403977,303.53050061872574,0.0,6.24702571674305
0.0,0.00622547411052626,0.03206353744110677,175.27894103753567,145.0334815633771,320.3124226009128,0.0,6.42416149973169
0.0,0.006236015577087276,0.03197095024815691,181.74700926163132,155.31251373533894,337.05952299697026,0.0,6.59173547684437
0.0,0.006245057721734593,0.03187280194292009,188.13262291609468,165.72477354462785,353.8573964607225,0.0,6.75640365509036
0.0,0.006252833764547807,0.031769929977291264,194.4411390505963,176.26106781430477,370.7022068649011,0.0,6.9203114588899
0.0,0.00625968944826822,0.03166322423528032,200.67376894291155,186.90641108207015,387.5801800249817,0.0,7.08496497138262
0.0,0.006265926386237876,0.031553460690140075,206.83172387081527,197.64672424785726,404.47844811867253,0.0,7.2518702757082
0.0,0.006271809632776974,0.03144132101961021,212.91621511208325,208.46881226374876,421.385027375832,0.0,7.42253345500629
0.0,0.006277573749452561,0.03132740832672775,218.92845394448946,219.36034226703435,438.28879621152385,0.0,7.59846059241653
0.0,0.006283427703959815,0.031212259838069193,224.86965164581014,230.30982215641095,455.1794738022211,0.0,7.7811577710786
0.0,0.0062895588548203376,0.03109635723503884,230.7410194938197,241.3065796113268,472.0475991051465,0.0,7.97213107413214
0.0,0.006296136214189494,0.030980135116096066,236.54376876629385,252.34074155448238,488.88451032077626,0.0,8.17288658471681
0.0,0.006302972854999581,0.030861544772772337,242.29347779306394,263.41189878132406,505.70537657438797,0.0,8.38166239150805
0.0,0.006309705484374816,0.030737568629157778,248.0133155958416,274.52652164482623,522.5398372406678,0.0,8.59349073345195
0.0,0.006316477469793521,0.030609019349544055,253.7049540412542,285.67990190761736,539.3848559488715,0.0,8.80728903949979
0.0,0.006323424388003675,0.03047667424191312,259.3698384252779,296.867974629342,556.2378130546199,0.0,9.0220211017547
0.0,0.006330670150780696,0.030341244531831225,265.0094140438911,308.0874344213417,573.0968484652328,0.0,9.23665071231985
0.0,0.006338328332668734,0.03020338314844868,270.62512619307,319.33572075464843,589.9608469477184,0.0,9.45014166329837
0.0,0.006346503309015912,0.030063691402728073,276.2184201687915,330.61100397589837,606.8294241446899,0.0,9.66145774679342
0.0,0.006355291234732816,0.02992272473527429,281.79074126703364,341.91217203115275,623.7029132981863,0.0,9.86956275490816
0.0,0.006364780888763343,0.02978099767941655,287.3435347837725,353.2388178976429,640.5823526814154,0.0,10.0734204797457
0.0,0.006375001275085853,0.029638987114164198,292.87779230751454,364.592368456534,657.4701607640486,0.0,10.2720333862991
0.0,0.006384149455837547,0.029497017094882564,298.37514994000094,376.01602403219823,674.3911739721991,0.0,10.4663233990786
0.0,0.006391811646540005,0.029355201185150063,303.818579218429,387.52859332153986,691.3471725399688,0.0,10.6578328011028
0.0,0.006398620898034891,0.02921366848314278,309.1981492324301,399.1269585450028,708.325107777433,0.0,10.8475748601379
0.0,0.0064051479087392305,0.02907258283575773,314.5032672862395,410.8090555134403,725.3123227996798,0.0,11.0365628439501
0.0,0.00641190611294806,0.028932141120746924,319.7226547256619,422.573847990638,742.2965027163,0.0,11.2258100203057
0.0,0.0064193559738091885,0.02879257244944772,324.844316398104,434.4212827136075,759.2655991117115,0.0,11.4163296569709
0.0,0.00642790862761572,0.02865413824823694,329.85550340482393,446.3522245183933,776.2077279232172,0.0,11.609135021712
0.0,0.006437929011328761,0.0285171331903742,334.74266883634436,458.36837118087345,793.1110400172179,0.0,11.8052393822952
0.0,0.006449738593142025,0.02838188696434913,339.4914162198994,470.4721477817134,809.9635640016128,0.0,12.0056560064867
0.0,0.0064630852485956965,0.028248947294615877,344.0928983155794,482.67744250884334,826.7703408244228,0.0,12.2113278364031
0.0,0.006474787173037141,0.028119592849829175,348.58145066280713,495.050972630543,843.6324232933501,0.0,12.4220682976891
0.0,0.0064845340267070985,0.02799366481983423,352.9709479890188,507.58877912349226,860.559727112511,0.0,12.636865521531
0.0,0.006492638432922446,0.027870733432889472,357.26952987850814,520.2709337668873,877.5404636453954,0.0,12.8546983214414
0.0,0.006499408548148212,0.027750343100465716,361.4861464655212,533.0751131457364,894.5612596112576,0.0,13.0745455109328
0.0,0.006505146733667944,0.027632011618623015,365.6305840010815,545.976643951503,911.6072279525845,0.0,13.2953859035176
