Speed[r/min],Torque[Nm],Flux (q-Axis)[Vs],
0,0,0.00028957915272387,
0,16.9154228855721,0.0978242967938633,
0,33.8308457711443,0.191133631851324,
0,50.7462686567164,0.280230646849113,
0,67.6616915422886,0.365128404311239,
0,84.5771144278607,0.445839966761709,
0,101.492537313433,0.522378396724531,
0,118.407960199005,0.594756756723713,
0,135.323383084577,0.662988109283263,
0,152.238805970149,0.727085516927187,
0,169.154228855721,0.787145808812228,
0,186.069651741294,0.844557505947961,
0,202.985074626866,0.899878590528684,
0,219.900497512438,0.953200137997572,
0,236.81592039801,1.0046132237978,
0,253.731343283582,1.05420892337253,
0,270.646766169154,1.10207831216496,
0,287.562189054726,1.14831246561824,
0,304.477611940298,1.19300245917555,
0,321.393034825871,1.23623936828007,
0,338.308457711443,1.27815702704841,
0,355.223880597015,1.31900289501589,
0,372.139303482587,1.35883213351001,
0,389.054726368159,1.39767802909486,
0,405.970149253731,1.43557386833449,
0,422.885572139303,1.47255293779297,
0,439.800995024876,1.50864852403436,
0,456.716417910448,1.54389391362274,
0,473.63184079602,1.57832239312216,
0,490.547263681592,1.61196724909669,
0,507.462686567164,1.64482909246958,
0,524.378109452736,1.6768951321961,
0,541.293532338308,1.70820409206033,
0,558.208955223881,1.73879522465324,
0,575.124378109453,1.76870778256581,
0,592.039800995025,1.79798101838901,
0,608.955223880597,1.82665418471381,
0,625.870646766169,1.85476653413119,
0,642.786069651741,1.88235731923213,
0,659.701492537313,1.90946276723155,
0,676.616915422886,1.93598569709325,
0,693.532338308458,1.9618273461498,
0,710.44776119403,1.98693827862744,
0,727.363184079602,2.01126905875242,
0,744.278606965174,2.03477025075095,
0,761.194029850746,2.05739241884929,
0,778.109452736318,2.07908612727365,
0,795.02487562189,2.09980194025027,
0,811.940298507463,2.1194904220054,
0,828.855721393035,2.13815592045135,
0,845.771144278607,2.15612877409774,
0,862.686567164179,2.17350234934137,
0,879.601990049751,2.19031092998525,
0,896.517412935323,2.20658879983236,
0,913.432835820895,2.22237024268568,
0,930.348258706468,2.23768954234822,
0,947.26368159204,2.25258098262296,
0,964.179104477612,2.26707884731288,
0,981.094527363184,2.28121742022099,
0,998.009950248756,2.2950573417415,
0,1014.92537313433,2.30867769356334,
0,1031.8407960199,2.32208844102627,
0,1048.75621890547,2.33529714754725,
0,1065.67164179104,2.34831137654327,
0,1082.58706467662,2.36113869143132,
0,1099.50248756219,2.37378665562837,
0,1116.41791044776,2.38626283255141,
0,1133.33333333333,2.39857478561741,
0,1150.24875621891,2.41073010163577,
0,1167.16417910448,2.4227407239315,
0,1184.07960199005,2.43461517816104,
0,1200.99502487562,2.44635771625227,
0,1217.91044776119,2.45797259013306,
0,1234.82587064677,2.46946405173128,
0,1251.74129353234,2.48083635297479,
0,1268.65671641791,2.49209374579146,
0,1285.57213930348,2.50324048210917,
0,1302.48756218905,2.51428081385579,
0,1319.40298507463,2.52521680537921,
0,1336.3184079602,2.53602718611546,
0,1353.23383084577,2.54670394783753,
0,1370.14925373134,2.55724507013228,
0,1387.06467661692,2.56764853258654,
0,1403.98009950249,2.57791231478718,
0,1420.89552238806,2.58803439632103,
0,1437.81094527363,2.59801275677495,
0,1454.7263681592,2.60784537573578,
0,1471.64179104478,2.61753023279038,
0,1488.55721393035,2.6270610822697,
0,1505.47263681592,2.63642394682248,
0,1522.38805970149,2.64561967509428,
0,1539.30348258706,2.65465026336682,
0,1556.21890547264,2.66351770792186,
0,1573.13432835821,2.67222400504112,
0,1590.04975124378,2.68077115100636,
0,1606.96517412935,2.6891611420993,
0,1623.88059701493,2.69739597460169,
0,1640.7960199005,2.70547764479527,
0,1657.71144278607,2.71342284947755,
0,1674.62686567164,2.7212520300795,
0,1691.54228855721,2.72896929625511,
0,1708.45771144279,2.73657873408266,
0,1725.37313432836,2.74408442964043,
0,1742.28855721393,2.75149046900669,
0,1759.2039800995,2.75880093825973,
0,1776.11940298507,2.76601992347782,
0,1793.03482587065,2.77315151073923,
0,1809.95024875622,2.78019968311434,
0,1826.86567164179,2.78716645242507,
0,1843.78109452736,2.79405531435239,
0,1860.69651741294,2.80087065103167,
0,1877.61194029851,2.8076168445983,
0,1894.52736318408,2.81429827718765,
0,1911.44278606965,2.8209193309351,
0,1928.35820895522,2.82748438797604,
0,1945.2736318408,2.83399783044583,
0,1962.18905472637,2.84046404047987,
0,1979.10447761194,2.84688415172836,
0,1996.01990049751,2.85324217238772,
0,2012.93532338308,2.85952950644213,
0,2029.85074626866,2.86573930159281,
0,2046.76616915423,2.87186470554098,
0,2063.6815920398,2.87789886598786,
0,2080.59701492537,2.88383493063468,
0,2097.51243781094,2.88966604718264,
0,2114.42786069652,2.89538536333298,
0,2131.34328358209,2.90098602678691,
0,2148.25870646766,2.90648141379128,
0,2165.17412935323,2.91190834747483,
0,2182.08955223881,2.91727540619756,
0,2199.00497512438,2.92259058863541,
0,2215.92039800995,2.92786189346434,
0,2232.83582089552,2.93309731936032,
0,2249.75124378109,2.93830486499931,
0,2266.66666666667,2.94349252905725,
0,2283.58208955224,2.94866831021012,
0,2300.49751243781,2.95383999710253,
0,2317.41293532338,2.9590010261665,
0,2334.32835820895,2.96414341158743,
0,2351.24378109453,2.96926519835758,
0,2368.1592039801,2.97436443146924,
0,2385.07462686567,2.9794391559147,
0,2401.99004975124,2.98448741668624,
0,2418.90547263682,2.98950725877614,
0,2435.82089552239,2.99449672717669,
0,2452.73631840796,2.99945386688016,
0,2469.65174129353,3.00437256951205,
0,2486.5671641791,3.00921936164842,
0,2503.48258706468,3.01398641504842,
0,2520.39800995025,3.0186725830999,
0,2537.31343283582,3.02327671919068,
0,2554.22885572139,3.02779767670858,
0,2571.14427860697,3.03223430904145,
0,2588.05970149254,3.0365854695771,
0,2604.97512437811,3.04085001170338,
0,2621.89054726368,3.0450267888081,
0,2638.80597014925,3.04912604882773,
0,2655.72139303483,3.05318024253077,
0,2672.6368159204,3.0571986191754,
0,2689.55223880597,3.06118909181329,
0,2706.46766169154,3.06515957349612,
0,2723.38308457711,3.06911797727557,
0,2740.29850746269,3.07307221620332,
0,2757.21393034826,3.07703020333105,
0,2774.12935323383,3.08099985171043,
0,2791.0447761194,3.08498908280403,
0,2807.96019900498,3.0890112497728,
0,2824.87562189055,3.093069820064,
0,2841.79104477612,3.09715932384159,
0,2858.70646766169,3.10127429126954,
0,2875.62189054726,3.10540925251185,
0,2892.53731343284,3.10955873773248,
0,2909.45273631841,3.11371727709541,
0,2926.36815920398,3.11787940076463,
0,2943.28358208955,3.1220396389041,
0,2960.19900497512,3.12618214071161,
0,2977.1144278607,3.13016793569269,
0,2994.02985074627,3.13396134695405,
0,3010.94527363184,3.13757052783836,
0,3027.86069651741,3.14100363168828,
0,3044.77611940298,3.14426881184651,
0,3061.69154228856,3.1473742216557,
0,3078.60696517413,3.15032801445854,
0,3095.5223880597,3.1531383435977,
