Speed[r/min],Torque[Nm],Current (Iq)[A],
0,0,0,
0,16.9154228855721,3.8875295500648,
0,33.8308457711443,7.44892966854184,
0,50.7462686567164,10.5900016262481,
0,67.6616915422886,13.2857870664018,
0,84.5771144278607,15.5689085119307,
0,101.492537313433,17.515819810531,
0,118.407960199005,19.2325642270248,
0,135.323383084577,20.8410743256114,
0,152.238805970149,22.4664412876823,
0,169.154228855721,24.2134886699271,
0,186.069651741294,25.9702903557186,
0,202.985074626866,27.6814159433674,
0,219.900497512438,29.3489554498135,
0,236.81592039801,30.9749988919966,
0,253.731343283582,32.5616362868566,
0,270.646766169154,34.1109576513332,
0,287.562189054726,35.6250530023664,
0,304.477611940298,37.1060123568958,
0,321.393034825871,38.5559257318614,
0,338.308457711443,39.9786999487791,
0,355.223880597015,41.3833367200677,
0,372.139303482587,42.7710144303524,
0,389.054726368159,44.1419995231413,
0,405.970149253731,45.4965584419424,
0,422.885572139303,46.8349576302639,
0,439.800995024876,48.1574635316136,
0,456.716417910448,49.4643425894998,
0,473.63184079602,50.7558612474304,
0,490.547263681592,52.0322859489136,
0,507.462686567164,53.2970434429042,
0,524.378109452736,54.555230194928,
0,541.293532338308,55.8072139637422,
0,558.208955223881,57.0533126695943,
0,575.124378109453,58.2938442327323,
0,592.039800995025,59.5291265734037,
0,608.955223880597,60.7594776118562,
0,625.870646766169,61.9852152683377,
0,642.786069651741,63.2066574630957,
0,659.701492537313,64.4240223148191,
0,676.616915422886,65.6332703359732,
0,693.532338308458,66.8306557933669,
0,710.44776119403,68.0139941950107,
0,727.363184079602,69.1809554766722,
0,744.278606965174,70.3290586845589,
0,761.194029850746,71.4556652574735,
0,778.109452736318,72.557970833465,
0,795.02487562189,73.6329955129938,
0,811.940298507463,74.6775725189703,
0,828.855721393035,75.6897557332649,
0,845.771144278607,76.6770979086505,
0,862.686567164179,77.642651054441,
0,879.601990049751,78.5882056264987,
0,896.517412935323,79.515730376513,
0,913.432835820895,80.4273779759082,
0,930.348258706468,81.3254897530037,
0,947.26368159204,82.212599442933,
0,964.179104477612,83.0914358555866,
0,981.094527363184,83.9649243718972,
0,998.009950248756,84.8351314405693,
0,1014.92537313433,85.7014328766903,
0,1031.8407960199,86.5641428273175,
0,1048.75621890547,87.4236399152847,
0,1065.67164179104,88.2803041189578,
0,1082.58706467662,89.13451672568,
0,1099.50248756219,89.9866602871178,
0,1116.41791044776,90.8371185764378,
0,1133.33333333333,91.6862765472387,
0,1150.24875621891,92.5345152729068,
0,1167.16417910448,93.3812114892531,
0,1184.07960199005,94.2262413022908,
0,1200.99502487562,95.0703684734016,
0,1217.91044776119,95.9143812206663,
0,1234.82587064677,96.7590921640774,
0,1251.74129353234,97.6053382444472,
0,1268.65671641791,98.4539806149225,
0,1285.57213930348,99.3059045039716,
0,1302.48756218905,100.162019048643,
0,1319.40298507463,101.022559352619,
0,1336.3184079602,101.880664211739,
0,1353.23383084577,102.734358258894,
0,1370.14925373134,103.583646685843,
0,1387.06467661692,104.428535998477,
0,1403.98009950249,105.269034030516,
0,1420.89552238806,106.105149957167,
0,1437.81094527363,106.936894308749,
0,1454.7263681592,107.764278984269,
0,1471.64179104478,108.587317264942,
0,1488.55721393035,109.405867363604,
0,1505.47263681592,110.219457389232,
0,1522.38805970149,111.028114946414,
0,1539.30348258706,111.831909507623,
0,1556.21890547264,112.630911753262,
0,1573.13432835821,113.425193581544,
0,1590.04975124378,114.214828118539,
0,1606.96517412935,114.999889728385,
0,1623.88059701493,115.780454023675,
0,1640.7960199005,116.556597875999,
0,1657.71144278607,117.328277699635,
0,1674.62686567164,118.095423530327,
0,1691.54228855721,118.858104308101,
0,1708.45771144279,119.616391164172,
0,1725.37313432836,120.370357238417,
0,1742.28855721393,121.120077693207,
0,1759.2039800995,121.865629727161,
0,1776.11940298507,122.607092588787,
0,1793.03482587065,123.344547590042,
0,1809.95024875622,124.078294729391,
0,1826.86567164179,124.812823703178,
0,1843.78109452736,125.549599460555,
0,1860.69651741294,126.288216811232,
0,1877.61194029851,127.028248631647,
0,1894.52736318408,127.769245886869,
0,1911.44278606965,128.510737639593,
0,1928.35820895522,129.252231045373,
0,1945.2736318408,129.9932113332,
0,1962.18905472637,130.733141770563,
0,1979.10447761194,131.471537010604,
0,1996.01990049751,132.20831351529,
0,2012.93532338308,132.943256450068,
0,2029.85074626866,133.676103451159,
0,2046.76616915423,134.406581109793,
0,2063.6815920398,135.134404922173,
0,2080.59701492537,135.859279234241,
0,2097.51243781094,136.580897181065,
0,2114.42786069652,137.298940620609,
0,2131.34328358209,138.013080061693,
0,2148.25870646766,138.721626492884,
0,2165.17412935323,139.42309818037,
0,2182.08955223881,140.119265766852,
0,2199.00497512438,140.81201281402,
0,2215.92039800995,141.503285991966,
0,2232.83582089552,142.195095409613,
0,2249.75124378109,142.889514775965,
0,2266.66666666667,143.588681386431,
0,2283.58208955224,144.294795928466,
0,2300.49751243781,145.010030675284,
0,2317.41293532338,145.730704186309,
0,2334.32835820895,146.453546410263,
0,2351.24378109453,147.178083779262,
0,2368.1592039801,147.903824851514,
0,2385.07462686567,148.630260288057,
0,2401.99004975124,149.356862816217,
0,2418.90547263682,150.083087179246,
0,2435.82089552239,150.80837007163,
0,2452.73631840796,151.532130059544,
0,2469.65174129353,152.253912398413,
0,2486.5671641791,152.974382757853,
0,2503.48258706468,153.693620022812,
0,2520.39800995025,154.411492534389,
0,2537.31343283582,155.127863948819,
0,2554.22885572139,155.842593211354,
0,2571.14427860697,156.55553452887,
0,2588.05970149254,157.266537341177,
0,2604.97512437811,157.975446290993,
0,2621.89054726368,158.682101192546,
0,2638.80597014925,159.386403773485,
0,2655.72139303483,160.08863678284,
0,2672.6368159204,160.789198202013,
0,2689.55223880597,161.488494227128,
0,2706.46766169154,162.186941424501,
0,2723.38308457711,162.884966791759,
0,2740.29850746269,163.583007815008,
0,2757.21393034826,164.281512521889,
0,2774.12935323383,164.980939530399,
0,2791.0447761194,165.681770594345,
0,2807.96019900498,166.395470188094,
0,2824.87562189055,167.129625350937,
0,2841.79104477612,167.880981452895,
0,2858.70646766169,168.646186761336,
0,2875.62189054726,169.421793690336,
0,2892.53731343284,170.204259650965,
0,2909.45273631841,170.989947489658,
0,2926.36815920398,171.775125501178,
0,2943.28358208955,172.55596700214,
0,2960.19900497512,173.328584696191,
0,2977.1144278607,174.090400242635,
0,2994.02985074627,174.840536068971,
0,3010.94527363184,175.578196225703,
0,3027.86069651741,176.302567083689,
0,3044.77611940298,177.012816965147,
0,3061.69154228856,177.708095757021,
0,3078.60696517413,178.387534506609,
0,3095.5223880597,179.050244999379,
0,3112.43781094527,179.695319318947,
0,3129.35323383085,180.333384933801,
0,3146.26865671642,181.005677864467,
0,3163.18407960199,181.712855482676,
0,3180.09950248756,182.45128266347,
0,3197.01492537313,183.217214550592,
0,3213.93034825871,184.006799198334,
0,3230.84577114428,184.816079772276,
0,3247.76119402985,185.640996298349,
0,3264.67661691542,186.47738694802,
0,3281.59203980099,187.386825066113,
0,3298.50746268657,187.386825066113,
21.8905472636816,0,0,
21.8905472636816,16.9154228855721,3.94430687379135,
21.8905472636816,33.8308457711443,7.54711333064782,
21.8905472636816,50.7462686567164,10.7093233026836,
21.8905472636816,67.6616915422886,13.4060841451898,
21.8905472636816,84.5771144278607,15.6741100818776,
21.8905472636816,101.492537313433,17.5966350600171,
21.8905472636816,118.407960199005,19.2878080503901,
21.8905472636816,135.323383084577,20.8776961485916,
21.8905472636816,152.238805970149,22.4983602300608,
21.8905472636816,169.154228855721,24.2585608812145,
21.8905472636816,186.069651741294,26.0358388484991,
21.8905472636816,202.985074626866,27.7697531232552,
21.8905472636816,219.900497512438,29.4614746041775,
21.8905472636816,236.81592039801,31.1123037124399,
21.8905472636816,253.731343283582,32.7236607821924,
21.8905472636816,270.646766169154,34.297077241964,
21.8905472636816,287.562189054726,35.8341875389798,
21.8905472636816,304.477611940298,37.3367217618014,
21.8905472636816,321.393034825871,38.8064989200568,
21.8905472636816,338.308457711443,40.2474454943322,
21.8905472636816,355.223880597015,41.6690229443822,
21.8905472636816,372.139303482587,43.0716781972589,
21.8905472636816,389.054726368159,44.4547542528444,
21.8905472636816,405.970149253731,45.8175198365329,
21.8905472636816,422.885572139303,47.1591700150771,
21.8905472636816,439.800995024876,48.4788263722266,
21.8905472636816,456.716417910448,49.7755367227749,
21.8905472636816,473.63184079602,51.0482743453679,
21.8905472636816,490.547263681592,52.295936716268,
21.8905472636816,507.462686567164,53.5245263941844,
21.8905472636816,524.378109452736,54.7451754142019,
21.8905472636816,541.293532338308,55.9592705393328,
21.8905472636816,558.208955223881,57.1681840615922,
21.8905472636816,575.124378109453,58.3733807737405,
21.8905472636816,592.039800995025,59.5764160890127,
21.8905472636816,608.955223880597,60.7789337814143,
21.8905472636816,625.870646766169,61.9826633103985,
21.8905472636816,642.786069651741,63.1894166935092,
21.8905472636816,659.701492537313,64.4008872640971,
21.8905472636816,676.616915422886,65.61040096216,
21.8905472636816,693.532338308458,66.8118994186383,
21.8905472636816,710.44776119403,68.0024705450799,
21.8905472636816,727.363184079602,69.1789785275286,
21.8905472636816,744.278606965174,70.3380584669989,
