Speed[r/min],Torque[Nm],Efficiency[%],
0,0,0,
0,16.9154228855721,0,
0,33.8308457711443,0,
0,50.7462686567164,0,
0,67.6616915422886,0,
0,84.5771144278607,0,
0,101.492537313433,0,
0,118.407960199005,0,
0,135.323383084577,0,
0,152.238805970149,0,
0,169.154228855721,0,
0,186.069651741294,0,
0,202.985074626866,0,
0,219.900497512438,0,
0,236.81592039801,0,
0,253.731343283582,0,
0,270.646766169154,0,
0,287.562189054726,0,
0,304.477611940298,0,
0,321.393034825871,0,
0,338.308457711443,0,
0,355.223880597015,0,
0,372.139303482587,0,
0,389.054726368159,0,
0,405.970149253731,0,
0,422.885572139303,0,
0,439.800995024876,0,
0,456.716417910448,0,
0,473.63184079602,0,
0,490.547263681592,0,
0,507.462686567164,0,
0,524.378109452736,0,
0,541.293532338308,0,
0,558.208955223881,0,
0,575.124378109453,0,
0,592.039800995025,0,
0,608.955223880597,0,
0,625.870646766169,0,
0,642.786069651741,0,
0,659.701492537313,0,
0,676.616915422886,0,
0,693.532338308458,0,
0,710.44776119403,0,
0,727.363184079602,0,
0,744.278606965174,0,
0,761.194029850746,0,
0,778.109452736318,0,
0,795.02487562189,0,
0,811.940298507463,0,
0,828.855721393035,0,
0,845.771144278607,0,
0,862.686567164179,0,
0,879.601990049751,0,
0,896.517412935323,0,
0,913.432835820895,0,
0,930.348258706468,0,
0,947.26368159204,0,
0,964.179104477612,0,
0,981.094527363184,0,
0,998.009950248756,0,
0,1014.92537313433,0,
0,1031.8407960199,0,
0,1048.75621890547,0,
0,1065.67164179104,0,
0,1082.58706467662,0,
0,1099.50248756219,0,
0,1116.41791044776,0,
0,1133.33333333333,0,
0,1150.24875621891,0,
0,1167.16417910448,0,
0,1184.07960199005,0,
0,1200.99502487562,0,
0,1217.91044776119,0,
0,1234.82587064677,0,
0,1251.74129353234,0,
0,1268.65671641791,0,
0,1285.57213930348,0,
0,1302.48756218905,0,
0,1319.40298507463,0,
0,1336.3184079602,0,
0,1353.23383084577,0,
0,1370.14925373134,0,
0,1387.06467661692,0,
0,1403.98009950249,0,
0,1420.89552238806,0,
0,1437.81094527363,0,
0,1454.7263681592,0,
0,1471.64179104478,0,
0,1488.55721393035,0,
0,1505.47263681592,0,
0,1522.38805970149,0,
0,1539.30348258706,0,
0,1556.21890547264,0,
0,1573.13432835821,0,
0,1590.04975124378,0,
0,1606.96517412935,0,
0,1623.88059701493,0,
0,1640.7960199005,0,
0,1657.71144278607,0,
0,1674.62686567164,0,
0,1691.54228855721,0,
0,1708.45771144279,0,
0,1725.37313432836,0,
0,1742.28855721393,0,
0,1759.2039800995,0,
0,1776.11940298507,0,
0,1793.03482587065,0,
0,1809.95024875622,0,
0,1826.86567164179,0,
0,1843.78109452736,0,
0,1860.69651741294,0,
0,1877.61194029851,0,
0,1894.52736318408,0,
0,1911.44278606965,0,
0,1928.35820895522,0,
0,1945.2736318408,0,
0,1962.18905472637,0,
0,1979.10447761194,0,
0,1996.01990049751,0,
0,2012.93532338308,0,
0,2029.85074626866,0,
0,2046.76616915423,0,
0,2063.6815920398,0,
0,2080.59701492537,0,
0,2097.51243781094,0,
0,2114.42786069652,0,
0,2131.34328358209,0,
0,2148.25870646766,0,
0,2165.17412935323,0,
0,2182.08955223881,0,
0,2199.00497512438,0,
0,2215.92039800995,0,
0,2232.83582089552,0,
0,2249.75124378109,0,
0,2266.66666666667,0,
0,2283.58208955224,0,
0,2300.49751243781,0,
0,2317.41293532338,0,
0,2334.32835820895,0,
0,2351.24378109453,0,
0,2368.1592039801,0,
0,2385.07462686567,0,
0,2401.99004975124,0,
0,2418.90547263682,0,
0,2435.82089552239,0,
0,2452.73631840796,0,
0,2469.65174129353,0,
0,2486.5671641791,0,
0,2503.48258706468,0,
0,2520.39800995025,0,
0,2537.31343283582,0,
0,2554.22885572139,0,
0,2571.14427860697,0,
0,2588.05970149254,0,
0,2604.97512437811,0,
0,2621.89054726368,0,
0,2638.80597014925,0,
0,2655.72139303483,0,
0,2672.6368159204,0,
0,2689.55223880597,0,
0,2706.46766169154,0,
0,2723.38308457711,0,
0,2740.29850746269,0,
0,2757.21393034826,0,
0,2774.12935323383,0,
0,2791.0447761194,0,
0,2807.96019900498,0,
0,2824.87562189055,0,
0,2841.79104477612,0,
0,2858.70646766169,0,
0,2875.62189054726,0,
0,2892.53731343284,0,
0,2909.45273631841,0,
0,2926.36815920398,0,
0,2943.28358208955,0,
0,2960.19900497512,0,
0,2977.1144278607,0,
0,2994.02985074627,0,
0,3010.94527363184,0,
0,3027.86069651741,0,
0,3044.77611940298,0,
0,3061.69154228856,0,
0,3078.60696517413,0,
0,3095.5223880597,0,
0,3112.43781094527,0,
0,3129.35323383085,0,
0,3146.26865671642,0,
0,3163.18407960199,0,
0,3180.09950248756,0,
0,3197.01492537313,0,
0,3213.93034825871,0,
0,3230.84577114428,0,
0,3247.76119402985,0,
0,3264.67661691542,0,
0,3281.59203980099,0,
0,3298.50746268657,0,
21.8905472636816,0,0,
21.8905472636816,16.9154228855721,78.3461700250261,
21.8905472636816,33.8308457711443,80.4007447797506,
21.8905472636816,50.7462686567164,80.3753440040261,
21.8905472636816,67.6616915422886,79.8168576824282,
21.8905472636816,84.5771144278607,79.054718551488,
21.8905472636816,101.492537313433,78.2012747679716,
21.8905472636816,118.407960199005,77.3050099880297,
21.8905472636816,135.323383084577,76.3900580408103,
21.8905472636816,152.238805970149,75.4696204382072,
