Speed[r/min],Torque[Nm],Load Angle[deg],
0,0,0,
0,16.9154228855721,7.26662047208482,
0,33.8308457711443,13.9230877241514,
0,50.7462686567164,19.9256271571387,
0,67.6616915422886,25.2304641719855,
0,84.5771144278607,29.7938241696306,
0,101.492537313433,33.571932551013,
0,118.407960199005,36.5210147170715,
0,135.323383084577,38.5972960687449,
0,152.238805970149,39.7570020069721,
0,169.154228855721,40,
0,186.069651741294,40,
0,202.985074626866,40,
0,219.900497512438,40,
0,236.81592039801,40,
0,253.731343283582,40,
0,270.646766169154,40,
0,287.562189054726,40,
0,304.477611940298,40,
0,321.393034825871,40,
0,338.308457711443,40,
0,355.223880597015,40,
0,372.139303482587,40,
0,389.054726368159,40,
0,405.970149253731,40,
0,422.885572139303,40,
0,439.800995024876,40,
0,456.716417910448,40,
0,473.63184079602,40,
0,490.547263681592,40,
0,507.462686567164,40,
0,524.378109452736,40,
0,541.293532338308,40,
0,558.208955223881,40,
0,575.124378109453,40,
0,592.039800995025,40,
0,608.955223880597,40,
0,625.870646766169,40,
0,642.786069651741,40,
0,659.701492537313,40.000112518518,
0,676.616915422886,40.0050922985881,
0,693.532338308458,40.0188575892794,
0,710.44776119403,40.0433406387577,
0,727.363184079602,40.0804736951891,
0,744.278606965174,40.1321890067394,
0,761.194029850746,40.2004188215745,
0,778.109452736318,40.2870953878603,
0,795.02487562189,40.3941509537628,
0,811.940298507463,40.5235177674478,
0,828.855721393035,40.6757754169087,
0,845.771144278607,40.8425908848828,
0,862.686567164179,41.0204386212529,
0,879.601990049751,41.2071911174129,
0,896.517412935323,41.4007208647562,
0,913.432835820895,41.5989003546764,
0,930.348258706468,41.7996020785672,
0,947.26368159204,42.0006985278222,
0,964.179104477612,42.2000621938349,
0,981.094527363184,42.3955655679991,
0,998.009950248756,42.5859916598987,
0,1014.92537313433,42.7723567239424,
0,1031.8407960199,42.9547019925347,
0,1048.75621890547,43.1330109468298,
0,1065.67164179104,43.3072670679817,
0,1082.58706467662,43.4774538371447,
0,1099.50248756219,43.6435547354728,
0,1116.41791044776,43.8055532441201,
0,1133.33333333333,43.9634328442408,
0,1150.24875621891,44.1171806168946,
0,1167.16417910448,44.2675021353795,
0,1184.07960199005,44.4147436240224,
0,1200.99502487562,44.5586295198498,
0,1217.91044776119,44.6988842598879,
0,1234.82587064677,44.8352322811631,
0,1251.74129353234,44.9673980207019,
0,1268.65671641791,45.0951059155305,
0,1285.57213930348,45.2180804026755,
0,1302.48756218905,45.336045919163,
0,1319.40298507463,45.449119462691,
0,1336.3184079602,45.5613348864162,
0,1353.23383084577,45.673807790874,
0,1370.14925373134,45.7865217435933,
0,1387.06467661692,45.8994603121026,
0,1403.98009950249,46.0126070639309,
0,1420.89552238806,46.1259455666067,
0,1437.81094527363,46.239459387659,
0,1454.7263681592,46.3531320946164,
0,1471.64179104478,46.4669472550076,
0,1488.55721393035,46.5808884688891,
0,1505.47263681592,46.6949388477708,
0,1522.38805970149,46.8090807730517,
0,1539.30348258706,46.9232965951052,
0,1556.21890547264,47.0375686643048,
0,1573.13432835821,47.1518793310236,
0,1590.04975124378,47.2662109456352,
0,1606.96517412935,47.3805458585128,
0,1623.88059701493,47.4948664200299,
0,1640.7960199005,47.6091549805597,
0,1657.71144278607,47.7233955602607,
0,1674.62686567164,47.8375692986528,
0,1691.54228855721,47.9516536297263,
0,1708.45771144279,48.0656259834916,
0,1725.37313432836,48.1794637899591,
0,1742.28855721393,48.2931444791393,
0,1759.2039800995,48.4066454810425,
0,1776.11940298507,48.5199442256791,
0,1793.03482587065,48.6330181430597,
0,1809.95024875622,48.7457583851237,
0,1826.86567164179,48.8564060614754,
0,1843.78109452736,48.9644477102269,
0,1860.69651741294,49.0701127183293,
0,1877.61194029851,49.1736304727339,
0,1894.52736318408,49.2752303603919,
0,1911.44278606965,49.3751417682547,
0,1928.35820895522,49.4735940832733,
0,1945.2736318408,49.5708166923991,
0,1962.18905472637,49.6670389825833,
0,1979.10447761194,49.7624642399852,
0,1996.01990049751,49.8571478457377,
0,2012.93532338308,49.9511901335297,
0,2029.85074626866,50.0447045950465,
0,2046.76616915423,50.1378047219734,
0,2063.6815920398,50.2306040059959,
0,2080.59701492537,50.3232159387992,
0,2097.51243781094,50.4157540120689,
0,2114.42786069652,50.5083317174901,
0,2131.34328358209,50.6010625467484,
0,2148.25870646766,50.694516705411,
0,2165.17412935323,50.789178588199,
0,2182.08955223881,50.8844349769743,
0,2199.00497512438,50.9796554867885,
0,2215.92039800995,51.0742097326933,
0,2232.83582089552,51.1674673297404,
0,2249.75124378109,51.2587978929814,
0,2266.66666666667,51.347571037468,
0,2283.58208955224,51.4331563782519,
0,2300.49751243781,51.5149524778286,
0,2317.41293532338,51.5942133772569,
0,2334.32835820895,51.67201935409,
0,2351.24378109453,51.7485512726461,
0,2368.1592039801,51.8239899972435,
0,2385.07462686567,51.8985163922002,
0,2401.99004975124,51.9723113218347,
0,2418.90547263682,52.0455556504649,
0,2435.82089552239,52.1184302424093,
0,2452.73631840796,52.1911159619859,
0,2469.65174129353,52.263751236456,
0,2486.5671641791,52.3361452028537,
0,2503.48258706468,52.4082827217434,
0,2520.39800995025,52.4802094691926,
0,2537.31343283582,52.5519711212686,
0,2554.22885572139,52.6236133540387,
0,2571.14427860697,52.6951818435702,
0,2588.05970149254,52.7667222659305,
0,2604.97512437811,52.8382802971869,
0,2621.89054726368,52.9099016134067,
0,2638.80597014925,52.9816124464313,
0,2655.72139303483,53.053335144179,
0,2672.6368159204,53.1249680160518,
0,2689.55223880597,53.1964101483578,
0,2706.46766169154,53.2675606274049,
0,2723.38308457711,53.3383185395012,
0,2740.29850746269,53.4085829709546,
0,2757.21393034826,53.4782530080732,
0,2774.12935323383,53.547227737165,
0,2791.0447761194,53.6154030641108,
0,2807.96019900498,53.6799019184475,
0,2824.87562189055,53.738895801546,
0,2841.79104477612,53.7933076865087,
0,2858.70646766169,53.8440605464383,
0,2875.62189054726,53.892077354437,
0,2892.53731343284,53.9382810836074,
0,2909.45273631841,53.9835947070519,
0,2926.36815920398,54.0289411978731,
0,2943.28358208955,54.0752435291732,
0,2960.19900497512,54.1234161376757,
0,2977.1144278607,54.1740386795515,
0,2994.02985074627,54.2272763620574,
0,3010.94527363184,54.2832711556207,
0,3027.86069651741,54.342165030669,
0,3044.77611940298,54.4040999576297,
0,3061.69154228856,54.4692179069303,
0,3078.60696517413,54.5376608489983,
0,3095.5223880597,54.6095707542611,
0,3112.43781094527,54.6850895931463,
0,3129.35323383085,54.7617618935588,
0,3146.26865671642,54.8303565925977,
0,3163.18407960199,54.8908798284063,
0,3180.09950248756,54.9442832727128,
0,3197.01492537313,54.991518597245,
0,3213.93034825871,55.0335374737312,
0,3230.84577114428,55.0712915738994,
0,3247.76119402985,55.1057325694775,
0,3264.67661691542,55.1378121321937,
0,3281.59203980099,55.1708375629969,
0,3298.50746268657,55.1708375629969,
21.8905472636816,0,0,
21.8905472636816,16.9154228855721,7.42160937801713,
21.8905472636816,33.8308457711443,14.2153944243016,
21.8905472636816,50.7462686567164,20.3342457074791,
21.8905472636816,67.6616915422886,25.7310537961752,
21.8905472636816,84.5771144278607,30.3587092590157,
21.8905472636816,101.492537313433,34.1701026646262,
21.8905472636816,118.407960199005,37.1181245816324,
21.8905472636816,135.323383084577,39.1556655786599,
21.8905472636816,152.238805970149,40.2356162243345,
21.8905472636816,169.154228855721,40.3572085959215,
21.8905472636816,186.069651741294,40.2351838648741,
21.8905472636816,202.985074626866,40.1268996154699,
21.8905472636816,219.900497512438,40.0316810857254,
21.8905472636816,236.81592039801,39.9488535136573,
21.8905472636816,253.731343283582,39.8777421372823,
21.8905472636816,270.646766169154,39.8176721946171,
21.8905472636816,287.562189054726,39.7679689236784,
21.8905472636816,304.477611940298,39.7279575624828,
21.8905472636816,321.393034825871,39.6969633490471,
21.8905472636816,338.308457711443,39.6736841129729,
21.8905472636816,355.223880597015,39.6555125212371,
21.8905472636816,372.139303482587,39.6431340054541,
21.8905472636816,389.054726368159,39.6375787214167,
21.8905472636816,405.970149253731,39.6398768249177,
21.8905472636816,422.885572139303,39.6510584717498,
21.8905472636816,439.800995024876,39.6721538177059,
21.8905472636816,456.716417910448,39.7041930185788,
21.8905472636816,473.63184079602,39.7482062301612,
21.8905472636816,490.547263681592,39.805223608246,
21.8905472636816,507.462686567164,39.8700274559551,
21.8905472636816,524.378109452736,39.9328155540187,
21.8905472636816,541.293532338308,39.992262497514,
21.8905472636816,558.208955223881,40.0471369219816,
21.8905472636816,575.124378109453,40.0962074629618,
21.8905472636816,592.039800995025,40.1382427559952,
21.8905472636816,608.955223880597,40.1720114366221,
21.8905472636816,625.870646766169,40.196282140383,
21.8905472636816,642.786069651741,40.2098235028183,
21.8905472636816,659.701492537313,40.2116374416589,
21.8905472636816,676.616915422886,40.2104278108697,
21.8905472636816,693.532338308458,40.2133808718791,
21.8905472636816,710.44776119403,40.2236020103225,
21.8905472636816,727.363184079602,40.2441966118355,
21.8905472636816,744.278606965174,40.2782700620534,
21.8905472636816,761.194029850746,40.3289277466117,
21.8905472636816,778.109452736318,40.3992750511457,
21.8905472636816,795.02487562189,40.4924173612909,
21.8905472636816,811.940298507463,40.6114600626827,
21.8905472636816,828.855721393035,40.7576037431188,
21.8905472636816,845.771144278607,40.9196720632846,
21.8905472636816,862.686567164179,41.0935388406095,
21.8905472636816,879.601990049751,41.2770679762857,
21.8905472636816,896.517412935323,41.468123371505,
21.8905472636816,913.432835820895,41.6645689274595,
21.8905472636816,930.348258706468,41.8642685453412,
21.8905472636816,947.26368159204,42.0650861263421,
21.8905472636816,964.179104477612,42.2648855716541,
21.8905472636816,981.094527363184,42.4615307824693,
21.8905472636816,998.009950248756,42.6535405755824,
21.8905472636816,1014.92537313433,42.8412710069287,
21.8905472636816,1031.8407960199,43.0245811910741,
21.8905472636816,1048.75621890547,43.2032923527784,
21.8905472636816,1065.67164179104,43.3772257168017,
21.8905472636816,1082.58706467662,43.5462025079037,
21.8905472636816,1099.50248756219,43.7100439508443,
21.8905472636816,1116.41791044776,43.8685712703836,
21.8905472636816,1133.33333333333,44.0216056912812,
21.8905472636816,1150.24875621891,44.1689734657608,
21.8905472636816,1167.16417910448,44.3116633322391,
21.8905472636816,1184.07960199005,44.4507136221425,
21.8905472636816,1200.99502487562,44.5864131513042,
21.8905472636816,1217.91044776119,44.7190507355574,
21.8905472636816,1234.82587064677,44.8489151907353,
21.8905472636816,1251.74129353234,44.976295332671,
21.8905472636816,1268.65671641791,45.1014799771979,
21.8905472636816,1285.57213930348,45.224757940149,
21.8905472636816,1302.48756218905,45.3464180373576,
21.8905472636816,1319.40298507463,45.4671027784184,
21.8905472636816,1336.3184079602,45.5905416460823,
21.8905472636816,1353.23383084577,45.716955295682,
21.8905472636816,1370.14925373134,45.8454504539703,
21.8905472636816,1387.06467661692,45.9751338476998,
21.8905472636816,1403.98009950249,46.1051122036234,
21.8905472636816,1420.89552238806,46.2344922484937,
21.8905472636816,1437.81094527363,46.3623807090634,
21.8905472636816,1454.7263681592,46.4878843120852,
21.8905472636816,1471.64179104478,46.610109784312,
21.8905472636816,1488.55721393035,46.728212917685,
21.8905472636816,1505.47263681592,46.8421931441115,
21.8905472636816,1522.38805970149,46.9527249917274,
21.8905472636816,1539.30348258706,47.0605001848943,
21.8905472636816,1556.21890547264,47.1662104479737,
21.8905472636816,1573.13432835821,47.2705475053273,
21.8905472636816,1590.04975124378,47.3742030813164,
21.8905472636816,1606.96517412935,47.4778689003028,
21.8905472636816,1623.88059701493,47.5822366866479,
21.8905472636816,1640.7960199005,47.6879981647133,
21.8905472636816,1657.71144278607,47.7960084889138,
21.8905472636816,1674.62686567164,47.9064441595488,
21.8905472636816,1691.54228855721,48.0188969470035,
21.8905472636816,1708.45771144279,48.1329580759192,
21.8905472636816,1725.37313432836,48.2482187709372,
21.8905472636816,1742.28855721393,48.3642702566987,
21.8905472636816,1759.2039800995,48.480703757845,
21.8905472636816,1776.11940298507,48.5971104990173,
21.8905472636816,1793.03482587065,48.7130817048569,
21.8905472636816,1809.95024875622,48.8281255983418,
21.8905472636816,1826.86567164179,48.9403119056986,
21.8905472636816,1843.78109452736,49.0492728223073,
21.8905472636816,1860.69651741294,49.1554071585775,
21.8905472636816,1877.61194029851,49.259113724919,
21.8905472636816,1894.52736318408,49.3607913317417,
21.8905472636816,1911.44278606965,49.4608387894552,
21.8905472636816,1928.35820895522,49.5596549084695,
21.8905472636816,1945.2736318408,49.6576384991941,
21.8905472636816,1962.18905472637,49.7551883720389,
21.8905472636816,1979.10447761194,49.8525604686778,
21.8905472636816,1996.01990049751,49.9492661878555,
21.8905472636816,2012.93532338308,50.045154322224,
21.8905472636816,2029.85074626866,50.1401510675585,
21.8905472636816,2046.76616915423,50.2341826196347,
21.8905472636816,2063.6815920398,50.3271751742281,
21.8905472636816,2080.59701492537,50.4190549271142,
21.8905472636816,2097.51243781094,50.5097480740685,
21.8905472636816,2114.42786069652,50.5991808108665,
21.8905472636816,2131.34328358209,50.6872793332838,
21.8905472636816,2148.25870646766,50.7747729143469,
21.8905472636816,2165.17412935323,50.8628553638289,
21.8905472636816,2182.08955223881,50.9512505581312,
21.8905472636816,2199.00497512438,51.0396562683119,
21.8905472636816,2215.92039800995,51.1277702654285,
21.8905472636816,2232.83582089552,51.2152903205391,
21.8905472636816,2249.75124378109,51.3019142047014,
21.8905472636816,2266.66666666667,51.3873396889731,
21.8905472636816,2283.58208955224,51.4712645444122,
21.8905472636816,2300.49751243781,51.553409531713,
21.8905472636816,2317.41293532338,51.6348510323218,
21.8905472636816,2334.32835820895,51.7161716177732,
